AIRLINE,AIRLINE_P,DEST_AIRPORT,DEST_AIRPORT_P,Delays,YEAR,MONTH,Flight_Status
EV,5,CRW,26,153.0,2018,11,Delayed
EV,5,MSY,76,66.0,2018,11,Delayed
EV,5,MFE,70,59.0,2018,11,Delayed
AS,2,SEA,101,46.0,2018,11,Delayed
NK,8,LAX,58,41.0,2018,11,Delayed
NK,8,MCO,68,24.0,2018,11,Normal
YX,13,DFW,31,86.0,2018,11,Delayed
YX,13,SLC,107,53.0,2018,11,Normal
UA,11,SMF,108,43.0,2018,11,Delayed
UA,11,ORD,83,40.0,2018,11,Normal
AA,1,MIA,71,29.0,2018,11,Normal
YX,13,ELP,37,93.0,2018,11,Delayed
EV,5,CRP,25,24.0,2018,11,Normal
EV,5,LIT,64,175.0,2018,11,Delayed
EV,5,PNS,90,92.0,2018,11,Delayed
YV,12,CVG,27,47.0,2018,11,Delayed
YV,12,OKC,80,59.0,2018,11,Normal
YV,12,DFW,31,26.0,2018,11,Normal
YV,12,SDF,100,67.0,2018,11,Delayed
YV,12,OKC,80,52.0,2018,11,Normal
YV,12,DFW,31,29.0,2018,11,Normal
YV,12,MSP,75,108.0,2018,11,Delayed
YV,12,MCI,67,218.0,2018,11,Delayed
YV,12,GSP,43,29.0,2018,11,Normal
AA,1,DFW,31,22.0,2018,11,Normal
9E,0,CVG,27,134.0,2018,11,Delayed
DL,4,ATL,6,86.0,2018,11,Delayed
AA,1,DFW,31,29.0,2018,11,Normal
NK,8,LAX,58,32.0,2018,11,Normal
NK,8,ORD,83,262.0,2018,11,Delayed
YV,12,SLC,107,68.0,2018,11,Delayed
YV,12,OKC,80,19.0,2018,11,Normal
YV,12,CHS,19,103.0,2018,11,Delayed
YV,12,TUL,113,29.0,2018,11,Normal
YV,12,BOI,11,16.0,2018,11,Normal
YV,12,STL,110,29.0,2018,11,Normal
YV,12,MEM,69,124.0,2018,11,Delayed
YV,12,COS,24,45.0,2018,11,Normal
YV,12,CHS,19,59.0,2018,11,Delayed
YV,12,ELP,37,30.0,2018,11,Normal
AA,1,PHL,87,127.0,2018,11,Delayed
DL,4,ATL,6,96.0,2018,11,Normal
DL,4,ATL,6,55.0,2018,11,Delayed
UA,11,SLC,107,39.0,2018,11,Normal
UA,11,MCO,68,90.0,2018,11,Delayed
UA,11,FLL,39,56.0,2018,11,Delayed
UA,11,LAX,58,26.0,2018,11,Normal
UA,11,PDX,86,20.0,2018,11,Normal
UA,11,ORD,83,35.0,2018,11,Normal
UA,11,SMF,108,441.0,2018,11,Delayed
UA,11,PHL,87,46.0,2018,11,Delayed
UA,11,PHL,87,305.0,2018,11,Delayed
UA,11,BWI,15,244.0,2018,11,Delayed
UA,11,MCI,67,59.0,2018,11,Delayed
UA,11,TUL,113,37.0,2018,11,Normal
UA,11,DCA,29,37.0,2018,11,Normal
UA,11,MSY,76,104.0,2018,11,Delayed
UA,11,EWR,38,133.0,2018,11,Delayed
UA,11,BNA,10,223.0,2018,11,Delayed
UA,11,AUS,7,33.0,2018,11,Normal
UA,11,EWR,38,157.0,2018,11,Delayed
UA,11,EWR,38,32.0,2018,11,Normal
UA,11,EWR,38,97.0,2018,11,Delayed
UA,11,EWR,38,113.0,2018,11,Delayed
UA,11,DEN,30,21.0,2018,11,Normal
EV,5,SHV,104,79.0,2018,11,Delayed
EV,5,XNA,117,168.0,2018,11,Delayed
EV,5,TYS,115,134.0,2018,11,Delayed
EV,5,LRD,65,206.0,2018,11,Delayed
EV,5,HOB,47,63.0,2018,11,Delayed
EV,5,MLU,73,23.0,2018,11,Normal
EV,5,ECP,35,316.0,2018,11,Delayed
EV,5,ICT,51,17.0,2018,11,Normal
EV,5,BRO,13,43.0,2018,11,Delayed
EV,5,BNA,10,75.0,2018,11,Delayed
F9,6,DEN,30,15.0,2018,11,Normal
NK,8,BWI,15,61.0,2018,11,Delayed
NK,8,SAN,97,94.0,2018,11,Delayed
NK,8,DEN,30,30.0,2018,11,Normal
YX,13,LFT,62,53.0,2018,11,Delayed
AA,1,CLT,22,138.0,2018,11,Delayed
OO,10,TUS,114,22.0,2018,11,Normal
EV,5,MOB,74,102.0,2018,11,Delayed
EV,5,JAN,54,285.0,2018,11,Delayed
EV,5,XNA,117,101.0,2018,11,Delayed
EV,5,MLU,73,111.0,2018,11,Delayed
EV,5,GRK,41,42.0,2018,11,Delayed
EV,5,LRD,65,17.0,2018,11,Normal
EV,5,ICT,51,87.0,2018,11,Delayed
EV,5,IND,52,190.0,2018,11,Delayed
YV,12,ATL,6,40.0,2018,11,Normal
YV,12,DFW,31,42.0,2018,11,Normal
YV,12,DFW,31,23.0,2018,11,Normal
YV,12,TUL,113,17.0,2018,11,Normal
YV,12,ORF,84,49.0,2018,11,Normal
YV,12,MSP,75,62.0,2018,11,Delayed
YV,12,PHL,87,59.0,2018,11,Delayed
YV,12,DFW,31,43.0,2018,11,Normal
YV,12,CRP,25,81.0,2018,11,Delayed
EV,5,BTR,14,159.0,2018,11,Delayed
AA,1,CLT,22,43.0,2018,11,Delayed
AA,1,MIA,71,47.0,2018,11,Delayed
YV,12,OKC,80,16.0,2018,11,Normal
YV,12,RIC,94,16.0,2018,11,Normal
YV,12,ATL,6,17.0,2018,11,Normal
EV,5,LIT,64,172.0,2018,11,Delayed
AA,1,DFW,31,17.0,2018,11,Normal
YV,12,LIT,64,139.0,2018,11,Delayed
YV,12,COS,24,33.0,2018,11,Normal
YV,12,SLC,107,173.0,2018,11,Delayed
YV,12,OKC,80,125.0,2018,11,Delayed
YV,12,DSM,33,24.0,2018,11,Normal
YV,12,OKC,80,66.0,2018,11,Delayed
YV,12,PHX,88,55.0,2018,11,Delayed
UA,11,SNA,109,34.0,2018,11,Normal
UA,11,FLL,39,25.0,2018,11,Normal
UA,11,MIA,71,20.0,2018,11,Normal
UA,11,PDX,86,16.0,2018,11,Normal
UA,11,SAN,97,84.0,2018,11,Delayed
UA,11,PHX,88,33.0,2018,11,Normal
UA,11,EWR,38,40.0,2018,11,Delayed
UA,11,BWI,15,70.0,2018,11,Delayed
UA,11,SFO,102,22.0,2018,11,Normal
UA,11,SAT,98,111.0,2018,11,Delayed
UA,11,AUS,7,332.0,2018,11,Delayed
UA,11,TPA,112,63.0,2018,11,Delayed
UA,11,PHL,87,503.0,2018,11,Delayed
UA,11,BOS,12,129.0,2018,11,Delayed
UA,11,SFO,102,72.0,2018,11,Delayed
UA,11,RDU,93,55.0,2018,11,Delayed
UA,11,LGA,63,56.0,2018,11,Delayed
UA,11,IAD,50,28.0,2018,11,Normal
UA,11,SAT,98,56.0,2018,11,Normal
UA,11,EWR,38,141.0,2018,11,Delayed
UA,11,MIA,71,35.0,2018,11,Normal
UA,11,BOS,12,88.0,2018,11,Delayed
UA,11,EWR,38,121.0,2018,11,Delayed
UA,11,EWR,38,96.0,2018,11,Delayed
UA,11,PHL,87,37.0,2018,11,Normal
UA,11,EWR,38,28.0,2018,11,Normal
EV,5,LCH,60,97.0,2018,11,Delayed
EV,5,TYS,115,15.0,2018,11,Normal
EV,5,LIT,64,25.0,2018,11,Normal
EV,5,LRD,65,46.0,2018,11,Normal
EV,5,MOB,74,49.0,2018,11,Delayed
EV,5,BHM,9,52.0,2018,11,Delayed
NK,8,DEN,30,91.0,2018,11,Delayed
YX,13,LFT,62,145.0,2018,11,Delayed
YX,13,MEM,69,88.0,2018,11,Delayed
EV,5,TUL,113,111.0,2018,11,Delayed
EV,5,OMA,81,47.0,2018,11,Delayed
EV,5,CLL,21,15.0,2018,11,Normal
YV,12,CLT,22,171.0,2018,11,Delayed
YV,12,DFW,31,102.0,2018,11,Delayed
YV,12,MCI,67,23.0,2018,11,Normal
YV,12,OKC,80,77.0,2018,11,Delayed
YV,12,PHL,87,89.0,2018,11,Delayed
YV,12,MAF,66,71.0,2018,11,Delayed
YV,12,ORF,84,49.0,2018,11,Normal
YV,12,LGA,63,101.0,2018,11,Delayed
9E,0,CVG,27,47.0,2018,11,Delayed
AA,1,PHL,87,162.0,2018,11,Delayed
NK,8,LAS,57,96.0,2018,11,Delayed
NK,8,LAX,58,73.0,2018,11,Delayed
AA,1,PHL,87,28.0,2018,11,Normal
OO,10,DTW,34,158.0,2018,11,Delayed
OO,10,COS,24,97.0,2018,11,Delayed
YX,13,LGA,63,129.0,2018,11,Delayed
YX,13,LGA,63,97.0,2018,11,Delayed
YX,13,LGA,63,30.0,2018,11,Normal
YX,13,LGA,63,67.0,2018,11,Delayed
YX,13,LGA,63,72.0,2018,11,Delayed
AA,1,PHL,87,17.0,2018,11,Normal
DL,4,ATL,6,44.0,2018,11,Normal
DL,4,ATL,6,68.0,2018,11,Delayed
AA,1,DFW,31,101.0,2018,11,Delayed
AA,1,ORD,83,92.0,2018,11,Delayed
NK,8,LAX,58,135.0,2018,11,Delayed
NK,8,ATL,6,22.0,2018,11,Normal
AA,1,CLT,22,803.0,2018,11,Delayed
OO,10,ATL,6,50.0,2018,11,Delayed
OO,10,MAF,66,64.0,2018,11,Delayed
OO,10,BHM,9,22.0,2018,11,Normal
OO,10,BTR,14,60.0,2018,11,Delayed
OO,10,BNA,10,196.0,2018,11,Delayed
OO,10,COS,24,58.0,2018,11,Delayed
UA,11,SAN,97,26.0,2018,11,Normal
UA,11,BWI,15,126.0,2018,11,Delayed
UA,11,SFO,102,130.0,2018,11,Delayed
UA,11,LAX,58,264.0,2018,11,Delayed
UA,11,LAX,58,85.0,2018,11,Delayed
UA,11,PHX,88,24.0,2018,11,Normal
UA,11,SAT,98,75.0,2018,11,Delayed
UA,11,SEA,101,29.0,2018,11,Normal
UA,11,TPA,112,142.0,2018,11,Delayed
UA,11,LAS,57,42.0,2018,11,Delayed
UA,11,PHL,87,179.0,2018,11,Delayed
UA,11,AUS,7,139.0,2018,11,Delayed
UA,11,RSW,96,115.0,2018,11,Delayed
UA,11,MCI,67,141.0,2018,11,Delayed
UA,11,EWR,38,74.0,2018,11,Delayed
UA,11,MFE,70,101.0,2018,11,Delayed
UA,11,TUL,113,38.0,2018,11,Normal
UA,11,OMA,81,146.0,2018,11,Delayed
UA,11,BOS,12,213.0,2018,11,Delayed
UA,11,SAT,98,61.0,2018,11,Delayed
UA,11,DCA,29,74.0,2018,11,Delayed
UA,11,AUS,7,42.0,2018,11,Normal
UA,11,ORD,83,56.0,2018,11,Delayed
UA,11,EWR,38,74.0,2018,11,Delayed
UA,11,PHX,88,281.0,2018,11,Delayed
UA,11,LAS,57,74.0,2018,11,Delayed
UA,11,SAN,97,96.0,2018,11,Delayed
UA,11,EWR,38,108.0,2018,11,Delayed
UA,11,DEN,30,48.0,2018,11,Delayed
UA,11,MCO,68,16.0,2018,11,Normal
UA,11,EWR,38,89.0,2018,11,Delayed
UA,11,CLE,20,169.0,2018,11,Delayed
UA,11,SAT,98,193.0,2018,11,Delayed
UA,11,EWR,38,83.0,2018,11,Delayed
UA,11,PHX,88,57.0,2018,11,Delayed
UA,11,SFO,102,73.0,2018,11,Delayed
UA,11,LAX,58,36.0,2018,11,Delayed
UA,11,HNL,46,692.0,2018,11,Delayed
EV,5,JAN,54,32.0,2018,11,Normal
EV,5,LCH,60,88.0,2018,11,Delayed
EV,5,GRK,41,42.0,2018,11,Normal
EV,5,SGF,103,101.0,2018,11,Delayed
EV,5,GRR,42,154.0,2018,11,Delayed
EV,5,JAN,54,198.0,2018,11,Delayed
EV,5,TYS,115,181.0,2018,11,Delayed
EV,5,BRO,13,98.0,2018,11,Delayed
EV,5,LRD,65,1026.0,2018,11,Delayed
EV,5,STL,110,34.0,2018,11,Normal
EV,5,SHV,104,436.0,2018,11,Delayed
EV,5,GPT,40,20.0,2018,11,Normal
EV,5,BTR,14,217.0,2018,11,Delayed
EV,5,ECP,35,322.0,2018,11,Delayed
EV,5,SAV,99,22.0,2018,11,Normal
EV,5,TUL,113,116.0,2018,11,Delayed
EV,5,AEX,1,183.0,2018,11,Delayed
YX,13,CMH,23,152.0,2018,11,Delayed
YX,13,PIT,89,179.0,2018,11,Delayed
YX,13,GRR,42,38.0,2018,11,Normal
YX,13,CMH,23,95.0,2018,11,Delayed
YX,13,JAX,55,33.0,2018,11,Normal
YX,13,LFT,62,25.0,2018,11,Normal
YX,13,DFW,31,52.0,2018,11,Delayed
YX,13,SDF,100,117.0,2018,11,Delayed
YX,13,LFT,62,122.0,2018,11,Delayed
YX,13,ICT,51,147.0,2018,11,Delayed
AA,1,CLT,22,36.0,2018,11,Normal
EV,5,DAY,28,166.0,2018,11,Delayed
EV,5,GPT,40,83.0,2018,11,Delayed
EV,5,XNA,117,175.0,2018,11,Delayed
EV,5,BHM,9,133.0,2018,11,Delayed
EV,5,HSV,49,28.0,2018,11,Normal
EV,5,MLU,73,176.0,2018,11,Delayed
EV,5,CLL,21,31.0,2018,11,Normal
EV,5,ECP,35,152.0,2018,11,Delayed
EV,5,BTR,14,16.0,2018,11,Normal
EV,5,MOB,74,162.0,2018,11,Delayed
EV,5,SHV,104,111.0,2018,11,Delayed
EV,5,IND,52,31.0,2018,11,Normal
YV,12,CVG,27,520.0,2018,11,Delayed
YV,12,DFW,31,222.0,2018,11,Delayed
YV,12,ATL,6,44.0,2018,11,Normal
YV,12,CRP,25,96.0,2018,11,Delayed
YV,12,PNS,90,51.0,2018,11,Normal
YV,12,GSP,43,156.0,2018,11,Delayed
YV,12,DFW,31,19.0,2018,11,Normal
YV,12,CLE,20,50.0,2018,11,Delayed
YV,12,DFW,31,34.0,2018,11,Normal
YV,12,RIC,94,296.0,2018,11,Delayed
YV,12,OKC,80,202.0,2018,11,Delayed
YV,12,TUL,113,280.0,2018,11,Delayed
YV,12,ATL,6,143.0,2018,11,Delayed
YV,12,MAF,66,115.0,2018,11,Delayed
YV,12,OKC,80,92.0,2018,11,Delayed
YV,12,CLT,22,213.0,2018,11,Delayed
YV,12,PHL,87,122.0,2018,11,Delayed
YV,12,DTW,34,154.0,2018,11,Delayed
YV,12,MCI,67,55.0,2018,11,Normal
YV,12,PNS,90,215.0,2018,11,Delayed
YV,12,MAF,66,133.0,2018,11,Delayed
YV,12,MEM,69,36.0,2018,11,Normal
YV,12,DSM,33,438.0,2018,11,Delayed
YV,12,DFW,31,132.0,2018,11,Delayed
YV,12,ATL,6,15.0,2018,11,Normal
YV,12,OKC,80,105.0,2018,11,Delayed
YV,12,TUL,113,256.0,2018,11,Delayed
YV,12,CHS,19,195.0,2018,11,Delayed
YV,12,MSP,75,97.0,2018,11,Delayed
YV,12,ELP,37,50.0,2018,11,Delayed
EV,5,AEX,1,92.0,2018,11,Delayed
EV,5,LBB,59,39.0,2018,11,Normal
EV,5,LIT,64,23.0,2018,11,Normal
EV,5,LBB,59,15.0,2018,11,Normal
DL,4,ATL,6,67.0,2018,11,Delayed
AA,1,CLT,22,127.0,2018,11,Delayed
AA,1,DFW,31,40.0,2018,11,Normal
AA,1,CLT,22,57.0,2018,11,Delayed
AA,1,DFW,31,18.0,2018,11,Normal
UA,11,SMF,108,45.0,2018,11,Delayed
UA,11,JAX,55,133.0,2018,11,Delayed
UA,11,SNA,109,127.0,2018,11,Delayed
UA,11,MIA,71,162.0,2018,11,Delayed
UA,11,MSY,76,45.0,2018,11,Delayed
UA,11,ORD,83,203.0,2018,11,Delayed
UA,11,SAT,98,29.0,2018,11,Normal
UA,11,MCO,68,128.0,2018,11,Delayed
UA,11,FLL,39,155.0,2018,11,Delayed
UA,11,MSY,76,130.0,2018,11,Delayed
UA,11,DEN,30,188.0,2018,11,Delayed
UA,11,TPA,112,22.0,2018,11,Normal
UA,11,MCO,68,41.0,2018,11,Normal
UA,11,SEA,101,161.0,2018,11,Delayed
UA,11,DEN,30,31.0,2018,11,Normal
UA,11,DCA,29,189.0,2018,11,Delayed
UA,11,EWR,38,102.0,2018,11,Delayed
YV,12,LIT,64,168.0,2018,11,Delayed
YV,12,CHS,19,25.0,2018,11,Normal
YV,12,MEM,69,149.0,2018,11,Delayed
YV,12,BOI,11,41.0,2018,11,Normal
EV,5,CRP,25,37.0,2018,11,Normal
EV,5,SHV,104,31.0,2018,11,Normal
AA,1,DFW,31,437.0,2018,11,Delayed
AA,1,CLT,22,17.0,2018,11,Normal
AA,1,DFW,31,57.0,2018,11,Delayed
AA,1,MIA,71,91.0,2018,11,Delayed
AA,1,CLT,22,647.0,2018,11,Delayed
AA,1,DFW,31,54.0,2018,11,Delayed
OO,10,MAF,66,208.0,2018,11,Delayed
OO,10,BTR,14,15.0,2018,11,Normal
UA,11,MAF,66,220.0,2018,11,Delayed
UA,11,SAT,98,162.0,2018,11,Delayed
UA,11,MCO,68,103.0,2018,11,Delayed
UA,11,FLL,39,44.0,2018,11,Delayed
UA,11,DEN,30,27.0,2018,11,Normal
UA,11,FLL,39,18.0,2018,11,Normal
UA,11,DCA,29,16.0,2018,11,Normal
UA,11,SNA,109,64.0,2018,11,Delayed
UA,11,CLE,20,297.0,2018,11,Delayed
UA,11,PDX,86,81.0,2018,11,Delayed
UA,11,PHX,88,50.0,2018,11,Delayed
UA,11,SFO,102,86.0,2018,11,Delayed
UA,11,MSY,76,39.0,2018,11,Normal
UA,11,MSY,76,26.0,2018,11,Normal
UA,11,LGA,63,17.0,2018,11,Normal
UA,11,ORD,83,32.0,2018,11,Normal
UA,11,LAS,57,46.0,2018,11,Normal
UA,11,DEN,30,24.0,2018,11,Normal
UA,11,MCO,68,31.0,2018,11,Normal
UA,11,CLE,20,191.0,2018,11,Delayed
UA,11,IAD,50,102.0,2018,11,Delayed
UA,11,PHX,88,15.0,2018,11,Normal
UA,11,LAX,58,352.0,2018,11,Delayed
YV,12,CLE,20,32.0,2018,11,Normal
YV,12,OKC,80,37.0,2018,11,Normal
YV,12,CRP,25,62.0,2018,11,Delayed
YV,12,RIC,94,38.0,2018,11,Normal
EV,5,LCH,60,277.0,2018,11,Delayed
EV,5,TYS,115,109.0,2018,11,Delayed
EV,5,LRD,65,136.0,2018,11,Delayed
EV,5,PNS,90,29.0,2018,11,Normal
EV,5,MOB,74,17.0,2018,11,Normal
EV,5,SAV,99,26.0,2018,11,Normal
EV,5,TUL,113,211.0,2018,11,Delayed
EV,5,BRO,13,117.0,2018,11,Delayed
EV,5,VPS,116,141.0,2018,11,Delayed
EV,5,BNA,10,15.0,2018,11,Normal
AS,2,SEA,101,57.0,2018,11,Delayed
NK,8,MSY,76,94.0,2018,11,Delayed
YX,13,CMH,23,50.0,2018,11,Delayed
YX,13,CVG,27,67.0,2018,11,Delayed
YX,13,DFW,31,58.0,2018,11,Normal
EV,5,GPT,40,34.0,2018,11,Normal
EV,5,JAN,54,23.0,2018,11,Normal
EV,5,HSV,49,111.0,2018,11,Delayed
EV,5,MLU,73,77.0,2018,11,Delayed
EV,5,TUL,113,158.0,2018,11,Delayed
EV,5,OMA,81,16.0,2018,11,Normal
EV,5,ECP,35,115.0,2018,11,Delayed
EV,5,TYS,115,68.0,2018,11,Delayed
EV,5,BTR,14,32.0,2018,11,Normal
EV,5,LFT,62,120.0,2018,11,Delayed
EV,5,IND,52,132.0,2018,11,Delayed
EV,5,GPT,40,16.0,2018,11,Normal
YV,12,CHS,19,38.0,2018,11,Normal
YV,12,MFE,70,369.0,2018,11,Delayed
YV,12,DFW,31,30.0,2018,11,Normal
YV,12,ORF,84,42.0,2018,11,Normal
YV,12,MAF,66,57.0,2018,11,Delayed
YV,12,CRP,25,274.0,2018,11,Delayed
YV,12,MEM,69,58.0,2018,11,Delayed
YV,12,ABQ,0,66.0,2018,11,Delayed
YV,12,BNA,10,131.0,2018,11,Delayed
YV,12,OKC,80,128.0,2018,11,Delayed
YV,12,CVG,27,261.0,2018,11,Delayed
YV,12,ATL,6,55.0,2018,11,Delayed
YV,12,DFW,31,96.0,2018,11,Delayed
YV,12,DFW,31,91.0,2018,11,Delayed
YV,12,PNS,90,66.0,2018,11,Delayed
YV,12,AUS,7,359.0,2018,11,Delayed
YV,12,GSP,43,49.0,2018,11,Delayed
YV,12,RIC,94,93.0,2018,11,Delayed
YV,12,JAX,55,15.0,2018,11,Normal
YV,12,ATL,6,39.0,2018,11,Delayed
YV,12,DFW,31,1627.0,2018,11,Delayed
AA,1,DFW,31,219.0,2018,11,Delayed
AA,1,ORD,83,69.0,2018,11,Delayed
DL,4,ATL,6,48.0,2018,11,Delayed
DL,4,ATL,6,62.0,2018,11,Delayed
AA,1,DFW,31,266.0,2018,11,Delayed
NK,8,ORD,83,111.0,2018,11,Delayed
YV,12,ORF,84,1611.0,2018,11,Delayed
YV,12,MEM,69,91.0,2018,11,Delayed
YV,12,CHS,19,48.0,2018,11,Normal
YV,12,STL,110,21.0,2018,11,Normal
YV,12,SDF,100,79.0,2018,11,Delayed
YV,12,ELP,37,31.0,2018,11,Normal
YV,12,COS,24,23.0,2018,11,Normal
YV,12,ELP,37,38.0,2018,11,Normal
YV,12,CLT,22,279.0,2018,11,Delayed
MQ,7,ORD,83,57.0,2018,11,Normal
YX,13,LGA,63,50.0,2018,11,Delayed
EV,5,HRL,48,107.0,2018,11,Delayed
AA,1,DFW,31,188.0,2018,11,Delayed
AA,1,MIA,71,33.0,2018,11,Normal
DL,4,ATL,6,62.0,2018,11,Delayed
DL,4,ATL,6,62.0,2018,11,Delayed
DL,4,ATL,6,92.0,2018,11,Delayed
DL,4,ATL,6,84.0,2018,11,Delayed
DL,4,ATL,6,145.0,2018,11,Delayed
AA,1,DFW,31,49.0,2018,11,Delayed
NK,8,ORD,83,465.0,2018,11,Delayed
